FinalComple Comple Symm FIFOSlowdown FIFOUnfairness FairSlowdown FairUnfairness DRFSlowdown DRFUnfairness PerfSlowdown PerfUnfairness 
0.009 0.081 0.333 0.101 0.185 0.045 0.093 0.000 0.000 0.022 0.157
0.017 0.068 0.500 0.000 0.415 0.245 0.079 0.170 0.000 0.132 0.438
0.030 0.118 0.500 0.000 0.499 0.217 0.077 0.150 0.000 0.033 0.129
0.000 0.057 0.091 0.197 1.061 0.113 0.008 0.169 0.000 0.000 0.371
0.013 0.116 0.333 0.189 0.429 0.264 0.052 0.377 0.000 0.000 0.241
0.044 0.086 0.714 0.026 0.333 0.091 0.155 0.013 0.000 0.000 1.664
0.082 0.082 1.000 0.208 0.616 0.014 0.044 0.139 0.000 0.000 0.397
0.135 0.135 1.000 0.033 0.145 0.000 0.223 0.000 0.000 0.000 0.169
0.130 0.254 0.714 0.246 1.207 0.230 0.021 0.164 0.000 0.000 0.143
0.000 0.004 0.091 0.043 0.554 0.122 0.005 0.122 0.000 0.000 0.627
0.006 0.159 0.200 0.065 0.273 0.146 0.049 0.114 0.000 0.000 0.202
0.003 0.086 0.200 0.000 1.292 0.178 0.003 0.188 0.000 0.000 0.995
0.003 0.029 0.333 0.000 0.140 0.069 0.036 0.042 0.000 0.021 0.182
0.001 0.022 0.200 0.088 0.152 0.071 0.082 0.088 0.000 0.000 0.133
0.000 0.004 0.091 0.000 0.133 0.103 0.033 0.128 0.000 0.000 0.133
0.014 0.125 0.333 0.169 0.615 0.260 0.179 0.273 0.000 0.000 0.722
0.000 0.047 0.091 0.019 1.591 0.150 0.066 0.121 0.000 0.000 1.441
0.000 0.004 0.091 0.000 0.211 0.122 0.016 0.148 0.000 0.000 0.211
0.014 0.123 0.333 0.105 3.033 0.284 0.025 0.126 0.000 0.000 2.711
0.029 0.117 0.500 0.086 1.106 0.314 0.064 0.314 0.000 0.000 0.830
0.064 0.256 0.500 0.105 0.315 0.179 0.039 0.137 0.000 0.000 0.100
0.021 0.085 0.500 0.000 1.130 0.065 0.175 0.009 0.000 0.037 1.197
0.015 0.058 0.500 0.165 1.793 0.204 0.067 0.117 0.000 0.000 0.417
0.000 0.011 0.200 0.057 0.174 0.131 0.071 0.074 0.000 0.000 0.156
0.012 0.049 0.500 0.109 0.315 0.185 0.079 0.250 0.000 0.000 0.347
0.032 0.128 0.500 0.102 1.376 0.091 0.070 0.102 0.000 0.000 0.991
0.047 0.189 0.500 0.096 0.012 0.037 0.238 0.067 0.000 0.000 0.083
0.098 0.391 0.500 0.321 0.566 0.205 0.164 0.000 0.000 0.054 0.282
0.001 0.156 0.091 0.009 0.082 0.078 0.103 0.052 0.000 0.000 0.082
0.037 0.148 0.500 0.153 0.220 0.250 0.059 0.236 0.000 0.000 0.912
0.033 0.134 0.500 0.097 0.083 0.088 0.035 0.071 0.000 0.000 0.070
0.032 0.127 0.500 0.242 0.272 0.330 0.081 0.242 0.000 0.000 0.424
0.010 0.090 0.333 0.362 0.795 0.203 0.152 0.217 0.000 0.000 0.180
0.023 0.091 0.500 0.184 0.312 0.160 0.118 0.080 0.000 0.000 0.195
0.010 0.090 0.333 0.073 0.177 0.000 0.145 0.033 0.000 0.033 0.248
0.158 0.158 1.000 0.287 0.831 0.241 0.218 0.080 0.000 0.000 0.228
0.000 0.047 0.091 0.000 0.000 0.103 0.088 0.151 0.000 0.000 0.000
0.140 0.275 0.714 0.435 0.299 0.447 0.236 0.141 0.000 0.000 0.022
0.001 0.009 0.333 0.000 0.245 0.204 0.093 0.230 0.000 0.000 0.210
0.148 0.290 0.714 0.250 2.001 0.421 0.105 0.263 0.000 0.000 0.941
0.111 0.218 0.714 0.164 1.028 0.138 0.154 0.052 0.000 0.000 0.255
0.037 0.149 0.500 0.426 0.229 0.351 0.143 0.309 0.000 0.000 0.000
0.065 0.127 0.714 0.145 0.074 0.154 0.135 0.085 0.000 0.000 0.244
0.020 0.081 0.500 0.089 0.175 0.138 0.155 0.114 0.000 0.000 0.319
0.005 0.047 0.333 0.152 0.162 0.072 0.090 0.080 0.000 0.000 0.071
0.099 0.195 0.714 0.093 0.601 0.165 0.081 0.062 0.000 0.000 0.187
0.007 0.182 0.200 0.176 1.209 0.176 0.050 0.137 0.000 0.000 0.819
0.085 0.085 1.000 0.227 0.609 0.258 0.071 0.144 0.000 0.000 0.036
0.034 0.138 0.500 0.253 0.955 0.303 0.161 0.162 0.000 0.000 0.163
0.061 0.119 0.714 0.241 0.502 0.138 0.142 0.017 0.000 0.000 0.122
0.203 0.203 1.000 0.253 0.390 0.177 0.158 0.114 0.000 0.000 0.203
0.178 0.178 1.000 0.133 0.333 0.133 0.194 0.000 0.000 0.027 0.448
0.003 0.068 0.200 0.029 0.614 0.257 0.061 0.257 0.000 0.000 1.765
0.053 0.103 0.714 0.281 0.909 0.323 0.186 0.146 0.000 0.000 0.385
0.013 0.050 0.500 0.000 0.508 0.099 0.186 0.022 0.000 0.011 0.436
0.057 0.227 0.500 0.102 0.073 0.041 0.425 0.020 0.000 0.000 0.394
0.034 0.137 0.500 0.302 0.350 0.337 0.231 0.140 0.000 0.000 0.069
0.108 0.212 0.714 0.267 0.330 0.244 0.136 0.000 0.000 0.067 0.174
0.033 0.134 0.500 0.096 0.058 0.193 0.212 0.193 0.000 0.000 0.033
0.192 0.192 1.000 0.074 0.498 0.253 0.163 0.042 0.000 0.000 0.250
0.053 0.104 0.714 0.093 0.564 0.244 0.142 0.151 0.000 0.000 0.111
0.013 0.121 0.333 0.000 0.337 0.309 0.074 0.265 0.000 0.074 0.525
0.053 0.104 0.714 0.204 0.224 0.143 0.144 0.071 0.000 0.000 0.083
0.004 0.106 0.200 0.010 0.378 0.067 0.220 0.086 0.000 0.000 0.079
0.132 0.259 0.714 0.138 1.152 0.255 0.189 0.053 0.000 0.000 0.777
0.024 0.095 0.500 0.052 0.723 0.026 0.003 0.043 0.000 0.000 0.466
0.020 0.081 0.500 0.297 0.576 0.143 0.088 0.110 0.000 0.000 0.465
0.027 0.239 0.333 0.290 0.352 0.376 0.064 0.183 0.000 0.000 0.156
0.113 0.113 1.000 0.198 0.334 0.219 0.192 0.000 0.000 0.042 0.145
0.226 0.226 1.000 0.192 0.473 0.192 0.134 0.111 0.000 0.000 0.199
0.031 0.126 0.500 0.170 0.445 0.358 0.105 0.245 0.000 0.000 0.238
0.072 0.141 0.714 0.172 0.573 0.230 0.127 0.057 0.000 0.000 0.083
0.178 0.178 1.000 0.120 0.340 0.180 0.159 0.000 0.000 0.000 0.131
0.065 0.127 0.714 0.143 0.385 0.229 0.199 0.000 0.000 0.038 0.094
0.291 0.291 1.000 0.301 0.558 0.301 0.136 0.178 0.000 0.000 0.261
0.020 0.081 0.500 0.055 0.228 0.055 0.122 0.033 0.000 0.000 0.366
0.097 0.190 0.714 0.232 0.465 0.221 0.146 0.011 0.000 0.000 0.003
0.059 0.116 0.714 0.345 0.157 0.218 0.205 0.103 0.000 0.000 0.050
0.081 0.158 0.714 0.290 0.388 0.150 0.299 0.000 0.000 0.030 0.076
0.000 0.044 0.091 0.026 0.882 0.066 0.025 0.079 0.000 0.000 0.862
0.005 0.047 0.333 0.000 0.085 0.110 0.108 0.096 0.000 0.096 0.443
0.000 0.009 0.091 0.000 0.334 0.101 0.047 0.116 0.000 0.043 0.314
0.001 0.037 0.200 0.000 0.284 0.197 0.153 0.164 0.000 0.131 0.004
0.000 0.023 0.091 0.091 0.054 0.167 0.046 0.182 0.000 0.000 0.873
0.010 0.041 0.500 0.000 0.438 0.159 0.028 0.159 0.000 0.159 0.088
0.002 0.059 0.200 0.133 0.003 0.417 0.120 0.417 0.000 0.000 0.203
0.003 0.086 0.200 0.278 0.050 0.389 0.000 0.444 0.000 0.000 0.031
0.000 0.000 0.000 0.000 0.877 0.042 0.013 0.042 0.000 0.000 0.877
0.004 0.090 0.200 0.086 0.018 0.062 0.286 0.000 0.000 0.074 0.018
0.019 0.075 0.500 0.089 0.132 0.063 0.058 0.114 0.000 0.000 0.519
0.036 0.071 0.714 0.000 0.410 0.122 0.076 0.073 0.000 0.012 0.388
0.014 0.128 0.333 0.210 0.303 0.403 0.331 0.371 0.000 0.000 0.144
0.002 0.059 0.200 0.027 0.271 0.178 0.025 0.178 0.000 0.000 0.125
0.000 0.035 0.091 0.135 0.134 0.442 0.079 0.442 0.000 0.000 0.313
0.029 0.057 0.714 0.097 0.144 0.167 0.098 0.167 0.000 0.000 0.193
0.008 0.071 0.333 0.047 0.369 0.070 0.168 0.093 0.000 0.000 0.063
